date,name,difficulty,time
2023/03/26,jj,EASY,25.335000
2023/03/26,jiuhlhjh,EASY,19.127000
2023/03/26,Mikael,EASY,34.219000
2023/03/26,ok,EASY,20.265000
2023/03/27,ok!!,EASY,22.270000
2023/03/27,ok test,EASY,14.545000
2023/03/27, jhefjajsdf fj ,EASY,25.228000
2023/05/06,booop,EASY,27.502000
2023/05/06,dawg,EASY,15.585000
2023/05/07,ok!,EASY,13.284000
2023/05/16,bot,MINI,0.305000
2023/05/16,bot lol,MEDIUM,4.615000
2023/05/16,poopy pants,HARD,1.194000
2023/05/19,u,MEDIUM,0.425000
2023/05/19,hehehe,EASY,20.500000
